MachineIdentifier,Wdft_RegionIdentifier,Census_IsTouchEnabled,Census_IsSecureBootEnabled,IsSxsPassiveMode,Census_MDC2FormFactor,Census_OSWUAutoUpdateOptionsName,OsSuite,Census_IsPortableOperatingSystem,Census_ActivationChannel,Census_OSArchitecture,AutoSampleOptIn,Census_GenuineStateName,Census_IsPenCapable,Processor,ProductName,Census_PrimaryDiskTypeName,Platform,HasTpm,Census_HasOpticalDiskDrive,SkuEdition,IsBeta,OsPlatformSubRelease,Census_FlightRing,Census_OSInstallTypeName,Census_DeviceFamily,SmartScreen,HasDetections
d4be2c3e7c541dda9633f8e0495c2326,13,1,1,0,Detachable,UNKNOWN,256,0,OEM:DM,amd64,0,IS_GENUINE,1,x64,win8defender,SSD,windows10,1,0,Pro,0,rs4,Retail,IBSClean,Windows.Desktop,ExistsNotSet,0
d702d452165a6e2aa2e9c203a497b387,1,0,0,0,Desktop,Notify,768,0,Retail,x86,0,IS_GENUINE,0,x86,win8defender,SSD,windows10,1,1,Home,0,rs4,Retail,Upgrade,Windows.Desktop,ExistsNotSet,1
a2e224acc036f26ce234a4f851b1d270,1,0,1,0,Notebook,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,1,Home,0,th1,Retail,Update,Windows.Desktop,RequireAdmin,1
92d0ca451c897a17b381016b5c4a574c,5,0,0,0,Notebook,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,rs4,Retail,Upgrade,Windows.Desktop,RequireAdmin,0
4259f81ac0f715b6219e254e25b32496,10,0,1,0,Notebook,FullAuto,256,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Pro,0,rs4,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,1
93005c0f4f9c28c40aac643134213d53,15,1,1,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,0
56bb58e255219defdf65f98c7df3ec5a,3,0,0,0,Notebook,Notify,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,Unspecified,windows10,1,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
6653506d11c2b334299836fed6cdc331,10,0,0,0,Notebook,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,rs1,Retail,Update,Windows.Desktop,RequireAdmin,0
4f5bcbf6f3743dd39a65c57ab33b586b,5,0,0,0,Notebook,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,rs3,Retail,Upgrade,Windows.Desktop,RequireAdmin,0
c8d3c7e67eb173688dfb5810d99200b4,11,0,0,0,Notebook,UNKNOWN,256,0,Volume:GVLK,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Pro,0,rs2,Retail,IBSClean,Windows.Desktop,ExistsNotSet,1
7989f6bc1b21a95f9c649cd41e481802,3,0,1,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,1
84b59bfcfd24ddd795349b9c085ff0d9,3,0,1,0,Notebook,FullAuto,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,0,Pro,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,1
02752df4c44fe47e53f4a209df07dc55,10,0,1,0,PCOther,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,0,Home,0,rs2,Retail,Reset,Windows.Desktop,ExistsNotSet,1
4085d01c7191e99c1511040d3b3e2f29,3,0,1,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,0,Home,0,rs1,Retail,Other,Windows.Desktop,RequireAdmin,0
a1c34a7d4442905a1d8f4d85f2ff6f22,3,0,0,0,Notebook,Notify,768,0,Retail,x86,0,IS_GENUINE,0,x86,mse,HDD,windows7,0,0,Invalid,0,windows7,Retail,Update,Windows.Desktop,ExistsNotSet,1
1d9180865affb5880c0c524c31ece4ec,7,0,0,0,Desktop,FullAuto,768,0,Volume:GVLK,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,0,Home,0,rs4,Retail,IBSClean,Windows.Desktop,ExistsNotSet,1
305c458fd00e833a8d9d3fb7aad64973,10,0,1,0,AllInOne,UNKNOWN,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,1
195ddb865a8be3396a40d73f299689fe,10,0,1,1,Notebook,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,rs3,Retail,Upgrade,Windows.Desktop,ExistsNotSet,1
887236c3abdb369e987cb55a94bd5fa2,10,0,0,0,Notebook,UNKNOWN,768,0,Volume:GVLK,amd64,0,INVALID_LICENSE,0,x64,win8defender,HDD,windows10,1,1,Home,0,th1,NOT_SET,IBSClean,Windows.Desktop,RequireAdmin,0
ce56ce0a7d158dd53a03ecca802372a1,8,1,1,0,Convertible,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,1,x64,win8defender,HDD,windows10,1,0,Home,0,rs1,Retail,Update,Windows.Desktop,RequireAdmin,0
33303dc42459f6e74366e6ee82f23143,3,0,1,0,PCOther,FullAuto,768,0,OEM:DM,x86,0,IS_GENUINE,0,x86,win8defender,SSD,windows10,1,0,Home,0,rs4,Retail,Upgrade,Windows.Desktop,RequireAdmin,0
8d3fb4a1beb824934318a7ab1752e75a,11,1,1,1,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
8f9cf7f033bfdc3d1b0ec3625af9121f,7,0,1,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,0,Home,0,rs4,Retail,IBSClean,Windows.Desktop,ExistsNotSet,1
8a6f66e3f8855e69b3fe41e293e501e9,6,0,1,0,Notebook,Notify,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,th2,Retail,Update,Windows.Desktop,RequireAdmin,1
cb1ae476e002c38fcf38fb1aaf2f4459,8,0,1,0,Notebook,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows8,1,0,Home,0,windows8.1,Retail,Update,Windows.Desktop,RequireAdmin,1
f969dd8a9b48b4d580979364fc88b8fe,5,1,1,0,Convertible,Notify,256,0,Retail,amd64,0,IS_GENUINE,1,x64,win8defender,SSD,windows10,1,0,Pro,0,rs3,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,1
50ab4d1a92aa5a3c55e453e0f4c55756,11,0,0,0,Notebook,FullAuto,256,0,Retail,x86,0,IS_GENUINE,0,x86,win8defender,HDD,windows10,1,0,Pro,0,rs3,Retail,Upgrade,Windows.Desktop,ExistsNotSet,0
cea5ea77e15b214a5d7afe58a7146c4b,11,1,1,0,Detachable,Notify,768,0,OEM:DM,x86,0,IS_GENUINE,0,x86,win8defender,SSD,windows10,1,0,Home,0,rs3,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
1d2055849fb1fdf421d82b15334203dc,10,0,0,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,0,Home,0,th1,NOT_SET,Other,Windows.Desktop,RequireAdmin,0
99412cffbd42be03a32e1c031cf59829,15,1,1,0,Convertible,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,0,Home,0,rs4,Retail,Other,Windows.Desktop,ExistsNotSet,0
2fb7da600609d1ab289f704db50f4336,3,0,1,0,Notebook,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
b1d950a1593885bf43ff7113416b98b0,13,0,0,0,Desktop,FullAuto,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Pro,0,rs4,Retail,Refresh,Windows.Desktop,ExistsNotSet,1
cab0fb891b4b140e851954e12d833f39,12,0,1,0,Notebook,AutoInstallAndRebootAtMaintenanceTime,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,rs3,Retail,Upgrade,Windows.Desktop,RequireAdmin,0
03fc609339a87075064afd50ab276c89,3,0,1,0,Notebook,UNKNOWN,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,0,Home,0,rs3,Retail,Upgrade,Windows.Desktop,Off,1
dd5a0477a5d78e2c7bfb2180cc43c2a2,13,0,0,0,Notebook,Notify,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,rs4,Unknown,Upgrade,Windows.Desktop,RequireAdmin,0
6ef1179a998b7025848a1daeebe02192,1,0,1,0,Notebook,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,rs3,Retail,Update,Windows.Desktop,RequireAdmin,0
bdd0cc11a6845861c1d95a8f57167d7d,11,0,0,0,Notebook,FullAuto,256,0,Retail,amd64,0,INVALID_LICENSE,0,x64,win8defender,HDD,windows10,1,0,Pro,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
363408c844896ab0a0e318771fe2e021,8,0,0,0,Notebook,AutoInstallAndRebootAtMaintenanceTime,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,rs2,Retail,Other,Windows.Desktop,ExistsNotSet,1
129a0e6297d80950788864482dc1bfd3,1,0,1,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,0,Home,0,rs1,Retail,Other,Windows.Desktop,RequireAdmin,0
c72671991f90097868643e87c4178cee,6,0,0,0,Notebook,Notify,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,0,Pro,0,rs1,Retail,Update,Windows.Desktop,ExistsNotSet,1
